id_cliente,sector,region,consumo_kwh,factor_potencia,antiguedad_anios
CL-0001,Comercial,Caribe,1590.7,0.914,10.4
CL-0002,Residencial,Andina,130.7,0.915,13.1
CL-0003,Industrial,Caribe,11247.3,0.81,22.5
CL-0004,Comercial,Caribe,301.9,0.938,10.0
CL-0005,Residencial,Pacifica,168.1,0.886,11.8
CL-0006,Industrial,Andina,3848.6,0.927,12.3
CL-0007,Comercial,Andina,822.7,0.816,24.2
CL-0008,Comercial,Caribe,1380.8,0.955,8.0
CL-0009,Residencial,Andina,124.9,0.906,13.8
CL-0010,Residencial,Andina,137.5,0.822,21.7
CL-0011,Residencial,Andina,97.6,0.948,4.4
CL-0012,Industrial,Andina,4879.6,0.93,7.6
CL-0013,Comercial,Andina,1226.9,0.925,6.8
CL-0014,Industrial,Andina,3744.4,0.933,10.1
CL-0015,Residencial,Andina,187.0,0.927,12.9
CL-0016,Residencial,Andina,188.9,0.962,5.1
CL-0017,Comercial,Andina,698.7,0.785,24.8
CL-0018,Residencial,Caribe,190.2,0.869,17.8
CL-0019,Industrial,Andina,6905.4,0.923,8.9
CL-0020,Comercial,Pacifica,660.9,0.979,6.7
CL-0021,Comercial,Pacifica,1059.3,0.924,11.3
CL-0022,Residencial,Andina,345.8,0.79,26.1
CL-0023,Industrial,Andina,1851.4,0.932,8.0
CL-0024,Industrial,Caribe,9269.6,0.83,22.2
CL-0025,Comercial,Pacifica,845.1,0.902,14.4
CL-0026,Residencial,Caribe,334.3,0.837,18.4
CL-0027,Residencial,Pacifica,170.6,0.961,10.1
CL-0028,Residencial,Caribe,110.8,0.863,17.0
CL-0029,Residencial,Caribe,233.9,0.946,12.4
CL-0030,Comercial,Andina,1487.8,0.782,25.2
CL-0031,Comercial,Caribe,1308.1,0.919,10.4
CL-0032,Industrial,Andina,4723.3,0.77,25.7
CL-0033,Residencial,Caribe,213.4,0.812,21.3
CL-0034,Residencial,Pacifica,153.2,0.835,17.8
CL-0035,Residencial,Andina,123.1,0.917,11.8
CL-0036,Residencial,Caribe,96.5,0.955,8.6
CL-0037,Residencial,Andina,88.8,0.975,8.3
CL-0038,Residencial,Caribe,54.6,0.948,9.2
CL-0039,Residencial,Andina,47.5,0.957,7.0
CL-0040,Comercial,Pacifica,1688.3,0.783,23.6
CL-0041,Residencial,Andina,76.5,0.868,18.1
CL-0042,Industrial,Pacifica,6685.3,0.909,10.1
CL-0043,Comercial,Pacifica,1959.3,0.789,23.7
CL-0044,Residencial,Caribe,130.9,0.827,23.4
CL-0045,Industrial,Caribe,7975.1,0.829,21.4
CL-0046,Industrial,Caribe,9298.3,0.91,5.7
CL-0047,Residencial,Pacifica,124.9,0.938,8.2
CL-0048,Residencial,Andina,107.9,0.839,24.3
CL-0049,Comercial,Caribe,1635.3,0.919,8.6
CL-0050,Residencial,Andina,170.1,0.932,9.4
CL-0051,Residencial,Caribe,266.1,0.826,20.2
CL-0052,Residencial,Andina,121.1,0.86,17.7
CL-0053,Comercial,Caribe,577.0,0.89,14.2
CL-0054,Comercial,Caribe,2524.0,0.783,22.7
CL-0055,Comercial,Andina,2449.7,0.92,11.2
CL-0056,Comercial,Caribe,996.0,0.959,4.7
CL-0057,Residencial,Caribe,114.0,0.944,7.2
CL-0058,Comercial,Caribe,1173.2,0.99,1.5
CL-0059,Residencial,Andina,79.6,0.917,13.0
CL-0060,Residencial,Caribe,132.2,0.836,20.4
CL-0061,Comercial,Pacifica,783.8,0.929,11.3
CL-0062,Residencial,Andina,284.8,0.81,23.4
CL-0063,Comercial,Andina,1970.4,0.936,7.2
CL-0064,Comercial,Andina,750.4,0.953,6.9
CL-0065,Comercial,Caribe,1451.5,0.925,12.5
CL-0066,Comercial,Andina,2852.3,0.95,8.4
CL-0067,Comercial,Caribe,1602.3,0.837,19.9
CL-0068,Residencial,Caribe,241.8,0.931,11.2
CL-0069,Residencial,Andina,142.0,0.99,1.3
CL-0070,Residencial,Pacifica,198.6,0.84,16.5
CL-0071,Residencial,Caribe,30.0,0.928,12.7
CL-0072,Residencial,Andina,150.3,0.919,12.9
CL-0073,Industrial,Andina,2255.1,0.905,13.3
CL-0074,Residencial,Andina,251.7,0.962,6.3
CL-0075,Residencial,Andina,263.9,0.859,19.0
CL-0076,Residencial,Andina,164.1,0.955,10.2
CL-0077,Residencial,Pacifica,92.5,0.952,10.1
CL-0078,Comercial,Andina,1013.0,0.933,6.9
CL-0079,Comercial,Andina,1549.8,0.899,8.8
CL-0080,Comercial,Caribe,817.7,0.908,12.2
CL-0081,Comercial,Caribe,2295.0,0.804,24.3
CL-0082,Residencial,Pacifica,316.5,0.936,5.9
CL-0083,Industrial,Caribe,5964.6,0.923,9.5
CL-0084,Residencial,Andina,144.5,0.918,11.9
CL-0085,Residencial,Andina,133.2,0.946,8.8
CL-0086,Residencial,Pacifica,125.1,0.92,12.6
CL-0087,Comercial,Caribe,1067.6,0.804,23.8
CL-0088,Residencial,Pacifica,134.7,0.799,22.4
CL-0089,Residencial,Andina,53.2,0.99,5.3
CL-0090,Comercial,Pacifica,432.1,0.952,9.2
CL-0091,Residencial,Caribe,255.1,0.807,22.5
CL-0092,Comercial,Andina,991.3,0.96,5.1
CL-0093,Residencial,Caribe,75.2,0.99,0.5
CL-0094,Residencial,Caribe,328.4,0.904,16.4
CL-0095,Residencial,Andina,265.0,0.87,20.9
CL-0096,Comercial,Andina,903.3,0.813,22.6
CL-0097,Residencial,Pacifica,125.3,0.933,13.0
CL-0098,Residencial,Andina,108.1,0.819,23.5
