id_cliente,sector,region,consumo_kwh,costo_miles_cop,area_m2,potencia_instalada_kw,num_equipos,horas_operacion,temperatura_c,factor_potencia,antiguedad_anios,interrupciones_mes,PC1,PC2,cluster,cluster_jerarquico,silueta
CL-0001,Comercial,Caribe,2221.4,1544.8,275.0,22.51,18,269,29.1,0.796,26.5,5,-2.6349,0.4278,2,1,0.4764
CL-0002,Residencial,Andina,72.5,59.2,49.4,4.14,4,60,12.7,0.874,13.1,1,0.091,-1.1588,0,2,0.1039
CL-0003,Industrial,Caribe,12184.9,7556.5,642.8,53.63,90,546,27.2,0.776,23.2,2,-2.683,1.5137,2,1,0.5701
CL-0004,Comercial,Caribe,522.7,378.5,69.0,3.88,7,296,29.8,0.885,15.3,1,-0.2161,-0.0351,0,1,0.0619
CL-0005,Residencial,Pacifica,137.9,114.7,43.5,3.32,4,114,26.8,0.841,20.2,4,-1.1374,-1.0063,1,3,0.6458
CL-0006,Industrial,Andina,3163.0,1936.2,393.5,31.28,45,370,14.7,0.944,9.3,0,0.9558,1.2593,3,0,0.6395
CL-0007,Comercial,Andina,584.5,434.9,91.6,9.8,11,216,17.3,0.976,5.2,0,1.9504,0.4001,3,0,0.1085
CL-0008,Comercial,Caribe,2455.9,1750.9,189.9,17.61,26,291,31.0,0.821,21.2,1,-1.7717,0.6595,2,1,0.6365
CL-0009,Residencial,Andina,285.1,217.6,116.6,6.42,8,165,18.6,0.809,22.4,2,-1.8288,-0.6661,1,3,0.5117
CL-0010,Residencial,Andina,115.2,94.3,45.6,2.61,4,160,16.8,0.929,6.9,0,1.3713,-0.6578,0,2,0.6866
CL-0011,Residencial,Andina,60.9,50.5,38.0,3.37,3,40,16.1,0.816,18.7,1,-1.1883,-1.474,1,3,0.608
CL-0012,Industrial,Andina,8047.9,5351.1,388.8,52.65,60,494,15.7,0.957,7.0,0,1.2667,1.8914,3,0,0.5556
CL-0013,Comercial,Andina,2373.6,1662.5,243.5,24.57,31,306,17.9,0.813,18.4,0,-1.5581,0.7101,2,1,0.6303
CL-0014,Industrial,Andina,4689.2,3100.5,272.4,32.83,25,405,17.4,0.806,21.9,1,-2.0904,1.0104,2,1,0.6665
CL-0015,Residencial,Andina,191.2,158.0,54.3,5.61,5,110,18.3,0.933,7.6,3,1.2917,-0.3723,0,2,0.5901
CL-0016,Residencial,Andina,294.9,229.1,96.7,7.55,8,122,17.3,0.97,9.1,0,1.5232,-0.1217,0,2,0.408
CL-0017,Comercial,Andina,714.6,478.7,90.3,7.96,6,246,18.6,0.956,11.1,0,1.0509,0.3355,3,0,0.2399
CL-0018,Residencial,Caribe,55.6,47.7,33.2,3.95,3,40,29.2,0.965,6.0,0,1.9687,-1.0319,0,2,0.6292
