variable_1,variable_2,r_pearson,p_valor,significativa_alpha_0.05
consumo_kwh,costo_miles_cop,0.9984,0.0,True
costo_miles_cop,potencia_instalada_kw,0.9787,7.24427599133305e-207,True
consumo_kwh,potencia_instalada_kw,0.977,4.788602868877603e-202,True
factor_potencia,antiguedad_anios,-0.9389,5.089291080431054e-140,True
area_m2,potencia_instalada_kw,0.9233,7.161321146031211e-126,True
area_m2,num_equipos,0.9218,1.057776391001825e-124,True
potencia_instalada_kw,num_equipos,0.9088,3.9157892110374077e-115,True
costo_miles_cop,num_equipos,0.907,6.2760983803124355e-114,True
consumo_kwh,num_equipos,0.9063,1.8476792997470396e-113,True
costo_miles_cop,area_m2,0.9058,3.9228274535122686e-113,True
consumo_kwh,area_m2,0.9052,8.542384238952439e-113,True
consumo_kwh,horas_operacion,0.7974,2.513898043790479e-67,True
costo_miles_cop,horas_operacion,0.7955,8.733129161235731e-67,True
potencia_instalada_kw,horas_operacion,0.7856,4.4481691912069907e-64,True
num_equipos,horas_operacion,0.7811,6.593513814524776e-63,True
area_m2,horas_operacion,0.7669,2.4457080501241846e-59,True
antiguedad_anios,interrupciones_mes,0.4892,1.8528631163488664e-19,True
factor_potencia,interrupciones_mes,-0.4783,1.4852838521779369e-18,True
temperatura_c,interrupciones_mes,0.2664,2.8727011921722523e-06,True
consumo_kwh,factor_potencia,-0.2065,0.00031788120830045935,True
costo_miles_cop,factor_potencia,-0.2043,0.0003696967806501375,True
num_equipos,factor_potencia,-0.1888,0.001012945216156002,True
area_m2,factor_potencia,-0.1789,0.00186388421195923,True
potencia_instalada_kw,factor_potencia,-0.1695,0.003230938380585307,True
horas_operacion,factor_potencia,-0.1103,0.056372652467659115,False
consumo_kwh,antiguedad_anios,0.0772,0.18225742179163196,False
costo_miles_cop,antiguedad_anios,0.0766,0.18577264226091694,False
area_m2,antiguedad_anios,0.0538,0.3534721401330988,False
num_equipos,antiguedad_anios,0.0535,0.3558004235324303,False
num_equipos,temperatura_c,-0.0528,0.362033275320155,False
area_m2,temperatura_c,-0.0503,0.3853843465241648,False
potencia_instalada_kw,temperatura_c,-0.0409,0.48025043406697665,False
potencia_instalada_kw,antiguedad_anios,0.0389,0.5018412035216329,False
horas_operacion,temperatura_c,0.0386,0.505258083058997,False
horas_operacion,interrupciones_mes,0.0384,0.5074661621559171,False
num_equipos,interrupciones_mes,-0.0359,0.5355413065230946,False
consumo_kwh,temperatura_c,-0.0222,0.701964300381379,False
temperatura_c,antiguedad_anios,0.0208,0.7202378432891959,False
potencia_instalada_kw,interrupciones_mes,-0.0189,0.7442255024659147,False
costo_miles_cop,temperatura_c,-0.0178,0.7588312500431803,False
consumo_kwh,interrupciones_mes,0.0103,0.8596292870952429,False
costo_miles_cop,interrupciones_mes,0.009,0.8766634780342158,False
temperatura_c,factor_potencia,0.008,0.8905503611759493,False
area_m2,interrupciones_mes,0.0031,0.9569384506397907,False
horas_operacion,antiguedad_anios,0.0025,0.9653385102946568,False
