,consumo_kwh,costo_miles_cop,area_m2,potencia_instalada_kw,num_equipos,horas_operacion,temperatura_c,factor_potencia,antiguedad_anios,interrupciones_mes
consumo_kwh,1.0,0.9984,0.9052,0.977,0.9063,0.7974,-0.0222,-0.2065,0.0772,0.0103
costo_miles_cop,0.9984,1.0,0.9058,0.9787,0.907,0.7955,-0.0178,-0.2043,0.0766,0.009
area_m2,0.9052,0.9058,1.0,0.9233,0.9218,0.7669,-0.0503,-0.1789,0.0538,0.0031
potencia_instalada_kw,0.977,0.9787,0.9233,1.0,0.9088,0.7856,-0.0409,-0.1695,0.0389,-0.0189
num_equipos,0.9063,0.907,0.9218,0.9088,1.0,0.7811,-0.0528,-0.1888,0.0535,-0.0359
horas_operacion,0.7974,0.7955,0.7669,0.7856,0.7811,1.0,0.0386,-0.1103,0.0025,0.0384
temperatura_c,-0.0222,-0.0178,-0.0503,-0.0409,-0.0528,0.0386,1.0,0.008,0.0208,0.2664
factor_potencia,-0.2065,-0.2043,-0.1789,-0.1695,-0.1888,-0.1103,0.008,1.0,-0.9389,-0.4783
antiguedad_anios,0.0772,0.0766,0.0538,0.0389,0.0535,0.0025,0.0208,-0.9389,1.0,0.4892
interrupciones_mes,0.0103,0.009,0.0031,-0.0189,-0.0359,0.0384,0.2664,-0.4783,0.4892,1.0
